rawEeg	eSenseAT	eSenseMED	delta	theta	lowAlpha	highAlpha	lowBeta	highBeta	lowGamma	highGamma
-421,43,732,-430,138,	48	40	1318279	1423958	45648	82469	45255	32704	15792	17022
64,50,19,19,	43	27	103781	56975	28959	9610	50490	13552	12194	21647
-462,74,17,76,	37	29	2316851	353039	47607	31906	34694	26528	19558	10780
27,20,-121,-51,	20	34	1445542	465102	148293	94319	64716	32490	18508	13587
122,-405,384,-173,-26,27,167,114,278,	35	57	494911	11760	13328	6608	2565	5565	3205	995
-2,52,80,664,282,-125,-524,-329,-100,-39,32,113,115,120,36,85,8,51,100,114,93,	30	61	127153	14944	3138	6573	2458	2544	3199	1717
39,-167,-50,64,72,163,181,71,114,137,29,-41,86,104,26,125,107,530,390,-54,-461,-328,-105,-52,38,52,86,70,100,48,6,123,26,99,2,27,50,128,41,236,535,133,-358,-291,-88,-83,-1,105,130,160,88,69,139,90,100,59,21,	30	69	218426	95051	48819	11728	7208	7541	7366	1597
91,-34,90,9,86,42,25,18,24,100,106,84,113,35,-35,68,71,26,136,235,569,413,	24	60	74256	187043	33574	57427	23255	21304	32325	10725
228,-402,-337,-52,21,145,160,253,220,320,165,172,53,90,123,115,89,64,99,436,544,119,-205,-585,-617,	26	50	756782	69131	9090	7612	22223	8680	7103	1970
-228,107,74,-2,90,41,92,41,53,12,54,26,68,-27,64,628,277,-269,-347,-308,-105,-10,22,106,18,45,103,106,-18,51,52,0,32,44,341,617,42,-386,-418,-218,-90,67,115,106,98,119,107,121,-20,43,144,27,37,48,	37	38	175837	160271	15661	15769	21656	34231	17165	15121
179,59,262,753,-24,-440,-417,-230,-163,68,36,76,84,103,64,82,28,26,77,83,70,18,27,165,48,	44	35	153684	86963	17036	24468	48767	27128	29975	24737
16,3,102,88,49,21,33,33,53,153,185,-8,-26,-34,-12,73,144,25,-6,88,32,308,700,178,	50	40	815626	96182	26104	16661	11154	29212	10838	7255
